Прайс БРЛ;;
Забайкальский край, г Чита – Москва/ Москва-Чита;;
Автомобиль Грузоподъемностью 5,0 тонн;115 000,00;138 000,00
Автомобиль Грузоподъемностью 10,0 тонн;154 166,67;185 000,00
Автомобиль Грузоподъемностью 15,0 тонн;183 333,33;220 000,00
Автомобиль Грузоподъемностью 20,0 тонн;197 500,00;237 000,00
Чита - Кемерово / Кемерово - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;74 166,67;89 000,00
Автомобиль Грузоподъемностью 3,0 тонн;85 833,33;103 000,00
Автомобиль Грузоподъемностью 5,0 тонн;108 333,33;130 000,00
Автомобиль Грузоподъемностью 10,0 тонн;158 333,33;190 000,00
Автомобиль Грузоподъемностью 15,0 тонн;170 833,33;205 000,00
Автомобиль Грузоподъемностью 20,0 тонн;191 666,67;230 000,00
Чита - Красноярск/ Красноярск - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;64 350,00;77 220,00
Автомобиль Грузоподъемностью 3,0 тонн;79 200,00;95 040,00
Автомобиль Грузоподъемностью 5,0 тонн;94 050,00;112 860,00
Автомобиль Грузоподъемностью 10,0 тонн;123 750,00;148 500,00
Автомобиль Грузоподъемностью 15,0 тонн;143 550,00;172 260,00
Автомобиль Грузоподъемностью 20,0 тонн;153 450,00;184 140,00
Чита - Иркутск / Иркутск - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;35 833,33;43 000,00
Автомобиль Грузоподъемностью 3,0 тонн;48 333,33;58 000,00
Автомобиль Грузоподъемностью 5,0 тонн;58 333,33;70 000,00
Автомобиль Грузоподъемностью 10,0 тонн;67 500,00;81 000,00
Автомобиль Грузоподъемностью 15,0 тонн;76 666,67;92 000,00
Автомобиль Грузоподъемностью 20,0 тонн;82 500,00;99 000,00
Чита - Быстринский ГОК/ Быстринский ГОК - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;81 666,67;98 000,00
Автомобиль Грузоподъемностью 3,0 тонн;98 333,33;118 000,00
Автомобиль Грузоподъемностью 5,0 тонн;115 833,33;139 000,00
Автомобиль Грузоподъемностью 10,0 тонн;129 166,67;155 000,00
Автомобиль Грузоподъемностью 15,0 тонн;145 833,33;175 000,00
Автомобиль Грузоподъемностью 20,0 тонн;158 333,33;190 000,00
Чита - Благовещенск/ Благовещенск - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;59 166,67;71 000,00
Автомобиль Грузоподъемностью 3,0 тонн;71 666,67;86 000,00
Автомобиль Грузоподъемностью 5,0 тонн;86 666,67;104 000,00
Автомобиль Грузоподъемностью 10,0 тонн;105 833,33;127 000,00
Автомобиль Грузоподъемностью 15,0 тонн;134 166,67;161 000,00
Автомобиль Грузоподъемностью 20,0 тонн;141 666,67;170 000,00
Чита - Хабаровск / хабаровск - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;82 500,00;99 000,00
Автомобиль Грузоподъемностью 3,0 тонн;115 833,33;139 000,00
Автомобиль Грузоподъемностью 5,0 тонн;135 000,00;162 000,00
Автомобиль Грузоподъемностью 10,0 тонн;182 500,00;219 000,00
Автомобиль Грузоподъемностью 15,0 тонн;210 833,33;253 000,00
Автомобиль Грузоподъемностью 20,0 тонн;224 166,67;269 000,00
Чита - Владивосток / Владивосток- Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;62 500,00;75 000,00
Автомобиль Грузоподъемностью 3,0 тонн;129 166,67;155 000,00
Автомобиль Грузоподъемностью 5,0 тонн;160 000,00;192 000,00
Автомобиль Грузоподъемностью 10,0 тонн;207 500,00;249 000,00
Автомобиль Грузоподъемностью 15,0 тонн;235 833,33;283 000,00
Автомобиль Грузоподъемностью 20,0 тонн;249 166,67;299 000,00
Чита - Комсомольск на Амуре / Комсомольск на Амуре - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;62 500,00;75 000,00
Автомобиль Грузоподъемностью 3,0 тонн;129 166,67;155 000,00
Автомобиль Грузоподъемностью 5,0 тонн;160 000,00;192 000,00
Автомобиль Грузоподъемностью 10,0 тонн;207 500,00;249 000,00
Автомобиль Грузоподъемностью 15,0 тонн;235 833,33;283 000,00
Автомобиль Грузоподъемностью 20,0 тонн;249 166,67;299 000,00
Чита - Пермь / Пермь - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;112 500,00;135 000,00
Автомобиль Грузоподъемностью 3,0 тонн;145 833,33;175 000,00
Автомобиль Грузоподъемностью 5,0 тонн;195 833,33;235 000,00
Автомобиль Грузоподъемностью 10,0 тонн;262 500,00;315 000,00
Автомобиль Грузоподъемностью 15,0 тонн;337 500,00;405 000,00
Автомобиль Грузоподъемностью 20,0 тонн;362 500,00;435 000,00
Чита - Казань / Казань - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;120 833,33;145 000,00
Автомобиль Грузоподъемностью 3,0 тонн;141 666,67;170 000,00
Автомобиль Грузоподъемностью 5,0 тонн;154 166,67;185 000,00
Автомобиль Грузоподъемностью 10,0 тонн;319 166,67;383 000,00
Автомобиль Грузоподъемностью 15,0 тонн;399 166,67;479 000,00
Автомобиль Грузоподъемностью 20,0 тонн;415 833,33;499 000,00
Чита - Самара / Самара - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;129 166,67;155 000,00
Автомобиль Грузоподъемностью 3,0 тонн;166 666,67;200 000,00
Автомобиль Грузоподъемностью 5,0 тонн;208 333,33;250 000,00
Автомобиль Грузоподъемностью 10,0 тонн;266 666,67;320 000,00
Автомобиль Грузоподъемностью 15,0 тонн;366 666,67;440 000,00
Автомобиль Грузоподъемностью 20,0 тонн;408 333,33;490 000,00
Чита - Липецк / Липецк - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;129 166,67;155 000,00
Автомобиль Грузоподъемностью 3,0 тонн;166 666,67;200 000,00
Автомобиль Грузоподъемностью 5,0 тонн;208 333,33;250 000,00
Автомобиль Грузоподъемностью 10,0 тонн;266 666,67;320 000,00
Автомобиль Грузоподъемностью 15,0 тонн;366 666,67;440 000,00
Автомобиль Грузоподъемностью 20,0 тонн;408 333,33;490 000,00
Чита - Брянск / Брянск - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;129 166,67;155 000,00
Автомобиль Грузоподъемностью 3,0 тонн;166 666,67;200 000,00
Автомобиль Грузоподъемностью 5,0 тонн;208 333,33;250 000,00
Автомобиль Грузоподъемностью 10,0 тонн;266 666,67;320 000,00
Автомобиль Грузоподъемностью 15,0 тонн;366 666,67;440 000,00
Автомобиль Грузоподъемностью 20,0 тонн;408 333,33;490 000,00
Чита - Ростов - на Дону / Ростов - на_ Дону - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;91 666,67;110 000,00
Автомобиль Грузоподъемностью 3,0 тонн;170 833,33;205 000,00
Автомобиль Грузоподъемностью 5,0 тонн;195 833,33;235 000,00
Автомобиль Грузоподъемностью 10,0 тонн;316 666,67;380 000,00
Автомобиль Грузоподъемностью 15,0 тонн;354 166,67;425 000,00
Автомобиль Грузоподъемностью 20,0 тонн;379 166,67;455 000,00
Чита - Ярославль / Ярославль - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;87 500,00;105 000,00
Автомобиль Грузоподъемностью 3,0 тонн;141 666,67;170 000,00
Автомобиль Грузоподъемностью 5,0 тонн;175 000,00;210 000,00
Автомобиль Грузоподъемностью 10,0 тонн;266 666,67;320 000,00
Автомобиль Грузоподъемностью 15,0 тонн;366 666,67;440 000,00
Автомобиль Грузоподъемностью 20,0 тонн;408 333,33;490 000,00
Чита - Иваново / Иваново - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;87 500,00;105 000,00
Автомобиль Грузоподъемностью 3,0 тонн;141 666,67;170 000,00
Автомобиль Грузоподъемностью 5,0 тонн;175 000,00;210 000,00
Автомобиль Грузоподъемностью 10,0 тонн;266 666,67;320 000,00
Автомобиль Грузоподъемностью 15,0 тонн;366 666,67;440 000,00
Автомобиль Грузоподъемностью 20,0 тонн;408 333,33;490 000,00
Чита - Ставрополь / Ставрополь - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;91 666,67;110 000,00
Автомобиль Грузоподъемностью 3,0 тонн;170 833,33;205 000,00
Автомобиль Грузоподъемностью 5,0 тонн;195 833,33;235 000,00
Автомобиль Грузоподъемностью 10,0 тонн;316 666,67;380 000,00
Автомобиль Грузоподъемностью 15,0 тонн;354 166,67;425 000,00
Автомобиль Грузоподъемностью 20,0 тонн;379 166,67;455 000,00
Чита - Киров / Киров - Чита;;
Автомобиль Грузоподъемностью 1,5 тонн;95 833,33;115 000,00
Автомобиль Грузоподъемностью 3,0 тонн;137 500,00;165 000,00
Автомобиль Грузоподъемностью 5,0 тонн;158 333,33;190 000,00
Автомобиль Грузоподъемностью 10,0 тонн;319 166,67;383 000,00
Автомобиль Грузоподъемностью 15,0 тонн;399 166,67;479 000,00
Автомобиль Грузоподъемностью 20,0 тонн;415 833,33;499 000,00
